instance,method,args
3 20 0 2325 875 369 719 1699 1723 2546 2478 178 2332 2398 501 2464 2129 1719 1054 1428 2624 2258 1896 716 2409 1074 2070 477 2554 143 2413 754 394 652 2542 1604 592 1973 1534 1302 1129 2815 498,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
3 20 0 2325 875 369 719 1699 1723 2546 2478 178 2332 2398 501 2464 2129 1719 1054 1428 2624 2258 1896 716 2409 1074 2070 477 2554 143 2413 754 394 652 2542 1604 592 1973 1534 1302 1129 2815 498,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
4 20 0 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483 390 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
4 20 0 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483 390 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
4 20 0 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483 390 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
4 20 0 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483 390 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
5 20 0 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
5 20 0 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
5 20 0 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
5 20 0 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
6 20 0 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
6 20 0 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
6 20 0 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
6 20 0 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
7 20 0 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
7 20 0 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
7 20 0 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
7 20 0 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
8 20 0 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
8 20 0 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
8 20 0 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
8 20 0 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
9 20 0 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
9 20 0 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
9 20 0 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
9 20 0 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
10 20 0 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
10 20 0 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
10 20 0 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
10 20 0 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni
11 20 0 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
11 20 0 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
11 20 0 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
11 20 0 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
12 20 0 2269 2310 802 952 345 230 1135 1101 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
12 20 0 2269 2310 802 952 345 230 1135 1101 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
12 20 0 2269 2310 802 952 345 230 1135 1101 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
12 20 0 2269 2310 802 952 345 230 1135 1101 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
13 20 0 875 715 719 749 1723 1812 2478 2432 2332 2372 501 661 2129 2142 1054 1044 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
13 20 0 875 715 719 749 1723 1812 2478 2432 2332 2372 501 661 2129 2142 1054 1044 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
13 20 0 875 715 719 749 1723 1812 2478 2432 2332 2372 501 661 2129 2142 1054 1044 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
13 20 0 875 715 719 749 1723 1812 2478 2432 2332 2372 501 661 2129 2142 1054 1044 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
14 20 0 509 603 2010 2023 2486 2535 331 253 220 137 2632 2631 2453 2464 1013 894 873 988 1648 1714 2605 2631 390 179 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
14 20 0 509 603 2010 2023 2486 2535 331 253 220 137 2632 2631 2453 2464 1013 894 873 988 1648 1714 2605 2631 390 179 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
14 20 0 509 603 2010 2023 2486 2535 331 253 220 137 2632 2631 2453 2464 1013 894 873 988 1648 1714 2605 2631 390 179 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
14 20 0 509 603 2010 2023 2486 2535 331 253 220 137 2632 2631 2453 2464 1013 894 873 988 1648 1714 2605 2631 390 179 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
15 20 0 1591 1543 2405 2383 288 480 1940 1940 224 44 930 799 546 301 1133 1308 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520 2042 1979 271 514 1644 1651 1117 1200,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
15 20 0 1591 1543 2405 2383 288 480 1940 1940 224 44 930 799 546 301 1133 1308 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520 2042 1979 271 514 1644 1651 1117 1200,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
15 20 0 1591 1543 2405 2383 288 480 1940 1940 224 44 930 799 546 301 1133 1308 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520 2042 1979 271 514 1644 1651 1117 1200,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
15 20 0 1591 1543 2405 2383 288 480 1940 1940 224 44 930 799 546 301 1133 1308 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520 2042 1979 271 514 1644 1651 1117 1200,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
16 20 0 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
16 20 0 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
16 20 0 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
16 20 0 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
17 20 0 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
17 20 0 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
17 20 0 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
17 20 0 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
18 20 0 2711 2717 2312 2251 858 705 1924 1928 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
18 20 0 2711 2717 2312 2251 858 705 1924 1928 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
18 20 0 2711 2717 2312 2251 858 705 1924 1928 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
18 20 0 2711 2717 2312 2251 858 705 1924 1928 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
19 20 0 763 619 2901 2900 1073 1074 82 182 1405 1525 1748 1777 1633 1734 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
19 20 0 763 619 2901 2900 1073 1074 82 182 1405 1525 1748 1777 1633 1734 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
19 20 0 763 619 2901 2900 1073 1074 82 182 1405 1525 1748 1777 1633 1734 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
19 20 0 763 619 2901 2900 1073 1074 82 182 1405 1525 1748 1777 1633 1734 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
20 20 0 1038 915 934 808 1893 1910 1581 1624 2516 2509 1178 1199 2136 2120 1752 1848 770 919 1956 2027 1386 1433 2928 2925 1907 1924 1520 1459 868 1071 914 870 179 175 1270 1284 973 1105 1334 1209,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
20 20 0 1038 915 934 808 1893 1910 1581 1624 2516 2509 1178 1199 2136 2120 1752 1848 770 919 1956 2027 1386 1433 2928 2925 1907 1924 1520 1459 868 1071 914 870 179 175 1270 1284 973 1105 1334 1209,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
20 20 0 1038 915 934 808 1893 1910 1581 1624 2516 2509 1178 1199 2136 2120 1752 1848 770 919 1956 2027 1386 1433 2928 2925 1907 1924 1520 1459 868 1071 914 870 179 175 1270 1284 973 1105 1334 1209,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
20 20 0 1038 915 934 808 1893 1910 1581 1624 2516 2509 1178 1199 2136 2120 1752 1848 770 919 1956 2027 1386 1433 2928 2925 1907 1924 1520 1459 868 1071 914 870 179 175 1270 1284 973 1105 1334 1209,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c corr
21 20 0 431 688 529 776 2156 2241 2306 2376 765 988 2237 2313 1024 1222 1157 1341 570 813 709 938 2322 2390 631 868 738 964 2686 2718 2868 2881 1587 1729 928 1135 1898 2008 242 518 2939 2945,solve_bruteforce,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c strong
21 20 0 431 688 529 776 2156 2241 2306 2376 765 988 2237 2313 1024 1222 1157 1341 570 813 709 938 2322 2390 631 868 738 964 2686 2718 2868 2881 1587 1729 928 1135 1898 2008 242 518 2939 2945,solve_branch_bound,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c strong
21 20 0 431 688 529 776 2156 2241 2306 2376 765 988 2237 2313 1024 1222 1157 1341 570 813 709 938 2322 2390 631 868 738 964 2686 2718 2868 2881 1587 1729 928 1135 1898 2008 242 518 2939 2945,solve_greedy,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c strong
21 20 0 431 688 529 776 2156 2241 2306 2376 765 988 2237 2313 1024 1222 1157 1341 570 813 709 938 2322 2390 631 868 738 964 2686 2718 2868 2881 1587 1729 928 1135 1898 2008 242 518 2939 2945,solve_dynamic_cost,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c strong
