instance,method,args
24 3206 1428 2624 2258 1896 716 2409 1074 2070 477 2554 143 2413 754 394 652 2542 1604 592 1973 1534 1302 1129 2815 498 85 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3206 1428 2624 2258 1896 716 2409 1074 2070 477 2554 143 2413 754 394 652 2542 1604 592 1973 1534 1302 1129 2815 498 85 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3688 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583 2961 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3688 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583 2961 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3688 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583 2961 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3688 291 2780 1914 500 2582 66 1731 1973 2851 1213 2699 8 233 1587 2252 583 2961 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3821 1479 1908 2042 511 271 2840 1644 1572 1117 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3821 1479 1908 2042 511 271 2840 1644 1572 1117 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3821 1479 1908 2042 511 271 2840 1644 1572 1117 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3821 1479 1908 2042 511 271 2840 1644 1572 1117 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4488 149 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733 2489 2584 1195 1067 1977 2711 1821,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4488 149 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733 2489 2584 1195 1067 1977 2711 1821,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4488 149 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733 2489 2584 1195 1067 1977 2711 1821,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4488 149 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733 2489 2584 1195 1067 1977 2711 1821,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3214 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036 808 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3214 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036 808 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3214 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036 808 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3214 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036 808 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4078 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871 1638 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4078 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871 1638 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4078 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871 1638 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4078 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871 1638 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4147 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475 1270 1619 973 2476 1334 379 2075 1768 2806 652 2315 1686 634 1025 423 2872 1012 2743 2526 2293 1893 1800 1968 2162 2837 2680 2684 197 2757 1091 1862,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4147 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475 1270 1619 973 2476 1334 379 2075 1768 2806 652 2315 1686 634 1025 423 2872 1012 2743 2526 2293 1893 1800 1968 2162 2837 2680 2684 197 2757 1091 1862,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4147 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475 1270 1619 973 2476 1334 379 2075 1768 2806 652 2315 1686 634 1025 423 2872 1012 2743 2526 2293 1893 1800 1968 2162 2837 2680 2684 197 2757 1091 1862,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4147 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475 1270 1619 973 2476 1334 379 2075 1768 2806 652 2315 1686 634 1025 423 2872 1012 2743 2526 2293 1893 1800 1968 2162 2837 2680 2684 197 2757 1091 1862,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4011 2349 1951 2375 1646 1786 1775 2110 1646 86 1233 1132 2961 2491 903 635 2678 1576 1806 176 2778 2740 1864 1587 794 1260 812 2528 1478 1208 2774 579 1960 310 414 2990 2132 434 2163 2996 2797 1932 2234 1857 362 1995 137 2981 2642,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4011 2349 1951 2375 1646 1786 1775 2110 1646 86 1233 1132 2961 2491 903 635 2678 1576 1806 176 2778 2740 1864 1587 794 1260 812 2528 1478 1208 2774 579 1960 310 414 2990 2132 434 2163 2996 2797 1932 2234 1857 362 1995 137 2981 2642,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4011 2349 1951 2375 1646 1786 1775 2110 1646 86 1233 1132 2961 2491 903 635 2678 1576 1806 176 2778 2740 1864 1587 794 1260 812 2528 1478 1208 2774 579 1960 310 414 2990 2132 434 2163 2996 2797 1932 2234 1857 362 1995 137 2981 2642,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 4011 2349 1951 2375 1646 1786 1775 2110 1646 86 1233 1132 2961 2491 903 635 2678 1576 1806 176 2778 2740 1864 1587 794 1260 812 2528 1478 1208 2774 579 1960 310 414 2990 2132 434 2163 2996 2797 1932 2234 1857 362 1995 137 2981 2642,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
10 24 3547 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608 185 329 2343 2313 2523 2487 854 802,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
10 24 3547 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608 185 329 2343 2313 2523 2487 854 802,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
10 24 3547 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608 185 329 2343 2313 2523 2487 854 802,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
10 24 3547 431 265 2156 2202 765 874 1024 979 570 442 2322 2283 738 916 2868 2868 928 983 242 507 2902 2905 1820 1896 1801 1858 1240 1228 2603 2615 1492 1484 1061 1095 982 920 2938 2934 686 608 185 329 2343 2313 2523 2487 854 802,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
11 24 3884 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275 2325 2296 369 232 1699 1719 2546 2576 178 334 2398 2357 2464 2487 1719 1681,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
11 24 3884 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275 2325 2296 369 232 1699 1719 2546 2576 178 334 2398 2357 2464 2487 1719 1681,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
11 24 3884 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275 2325 2296 369 232 1699 1719 2546 2576 178 334 2398 2357 2464 2487 1719 1681,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
11 24 3884 2954 2951 276 429 2682 2684 1865 1902 1322 1438 2341 2367 317 75 2692 2687 2393 2342 422 530 850 639 1725 1696 8 192 1104 1058 2922 2923 1270 1275 2325 2296 369 232 1699 1719 2546 2576 178 334 2398 2357 2464 2487 1719 1681,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
12 24 4243 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262 2070 2009 2063 2095 1702 1787 2918 2911 1060 894 1053 1200 1469 1566 1813 1774 602 502 2313 2320 2232 2289 2483 2445,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
12 24 4243 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262 2070 2009 2063 2095 1702 1787 2918 2911 1060 894 1053 1200 1469 1566 1813 1774 602 502 2313 2320 2232 2289 2483 2445,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
12 24 4243 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262 2070 2009 2063 2095 1702 1787 2918 2911 1060 894 1053 1200 1469 1566 1813 1774 602 502 2313 2320 2232 2289 2483 2445,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
12 24 4243 2624 2643 1896 1838 2409 2392 2070 2006 2554 2513 2413 2384 394 246 2542 2545 592 668 1534 1515 1129 1293 498 262 2070 2009 2063 2095 1702 1787 2918 2911 1060 894 1053 1200 1469 1566 1813 1774 602 502 2313 2320 2232 2289 2483 2445,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
13 24 2858 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958 158 175 993 1114 947 780 2567 2579 1508 1381 527 433 548 392 5 284 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
13 24 2858 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958 158 175 993 1114 947 780 2567 2579 1508 1381 527 433 548 392 5 284 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
13 24 2858 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958 158 175 993 1114 947 780 2567 2579 1508 1381 527 433 548 392 5 284 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
13 24 2858 2780 2787 500 680 66 111 1973 2065 1213 1356 8 25 2252 2206 2961 2958 158 175 993 1114 947 780 2567 2579 1508 1381 527 433 548 392 5 284 741 602 55 137 784 877 1603 1707 878 835 1568 1499 2470 2482 1479 1520,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
14 24 3948 511 306 2840 2842 1572 1535 2159 2193 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
14 24 3948 511 306 2840 2842 1572 1535 2159 2193 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
14 24 3948 511 306 2840 2842 1572 1535 2159 2193 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
14 24 3948 511 306 2840 2842 1572 1535 2159 2193 2606 2643 2262 2309 1197 1223 2497 2450 75 110 1221 1321 2215 2278 563 670 1734 1797 102 56 2581 2582 1108 1206 2439 2414 1629 1493 2501 2543 2938 2939 1551 1483 2025 1928 1011 1174 149 395,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
15 24 3726 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143 1977 2060 1821 1885 179 59 429 502,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
15 24 3726 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143 1977 2060 1821 1885 179 59 429 502,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
15 24 3726 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143 1977 2060 1821 1885 179 59 429 502,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
15 24 3726 2724 2735 1286 1199 1052 1176 2823 2833 1976 1877 2067 2075 2005 2032 2672 2673 1837 1812 315 107 987 846 2748 2723 1544 1568 2038 2127 2304 2348 138 415 466 446 196 427 2489 2526 1195 1143 1977 2060 1821 1885 179 59 429 502,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
16 24 2918 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249 682 568 536 766 1310 1262 1512 1371 800 620 2015 2008 2632 2638 1844 1854,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
16 24 2918 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249 682 568 536 766 1310 1262 1512 1371 800 620 2015 2008 2632 2638 1844 1854,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
16 24 2918 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249 682 568 536 766 1310 1262 1512 1371 800 620 2015 2008 2632 2638 1844 1854,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
16 24 2918 539 612 2257 2204 1007 848 770 663 1415 1538 178 442 1245 1314 1237 1311 1162 1000 1605 1698 2894 2895 1046 973 39 228 536 460 808 623 1113 1249 682 568 536 766 1310 1262 1512 1371 800 620 2015 2008 2632 2638 1844 1854,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
17 24 3859 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922 645 572 568 476 584 647 1741 1748 1960 2030 1307 1271 1667 1724 1222 1252 2647 2630 2503 2518 2523 2519,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
17 24 3859 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922 645 572 568 476 584 647 1741 1748 1960 2030 1307 1271 1667 1724 1222 1252 2647 2630 2503 2518 2523 2519,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
17 24 3859 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922 645 572 568 476 584 647 1741 1748 1960 2030 1307 1271 1667 1724 1222 1252 2647 2630 2503 2518 2523 2519,solve_greedy,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
17 24 3859 657 474 1623 1754 2706 2687 1916 1916 190 234 2508 2517 1623 1584 1168 1001 1605 1577 1967 2061 1638 1635 709 919 2918 2922 645 572 568 476 584 647 1741 1748 1960 2030 1307 1271 1667 1724 1222 1252 2647 2630 2503 2518 2523 2519,solve_dynamic_cost,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
18 24 4240 2928 2925 1907 1924 1520 1459 868 1071 914 870 179 175 1270 1284 973 1105 1334 1209 2075 2092 2806 2795 2315 2324 634 559 423 659 1012 1177 2526 2551 1893 1916 1968 2014 2837 2850 2684 2657 2757 2750 1862 1765 2349 2369 2375 2381,solve_bruteforce,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
18 24 4240 2928 2925 1907 1924 1520 1459 868 1071 914 870 179 175 1270 1284 973 1105 1334 1209 2075 2092 2806 2795 2315 2324 634 559 423 659 1012 1177 2526 2551 1893 1916 1968 2014 2837 2850 2684 2657 2757 2750 1862 1765 2349 2369 2375 2381,solve_branch_bound,-I 10 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c corr
