instance,method,args,tag
5 20 18311 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
5 20 18311 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
5 20 18311 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
5 20 18311 297 158 1591 993 2405 947 288 2567 1940 1508 224 527 930 548 546 5 1133 2901 741 580 55 1917 784 2131 1603 2616 878 1198 1568 776 2470 1826 1479 1908 2042 511 271 2840 1644 1572,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
6 20 27531 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
6 20 27531 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
6 20 27531 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
6 20 27531 2159 2107 2606 2915 2262 2462 1197 1715 2497 87 75 1680 1221 2340 2215 2711 563 2162 1734 2245 102 1260 2581 1518 1108 2279 2439 823 1629 5 2501 2772 2938 1769 1551 795 2025 17 1011 2730,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
7 20 20696 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
7 20 20696 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
7 20 20696 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
7 20 20696 20 2792 2820 2724 2121 1286 737 1052 2454 2823 2386 1976 52 2067 1638 2005 1912 2672 1525 1837 1180 315 339 987 452 2748 2 1544 1753 2038 2893 2304 2458 138 466 2951 466 1384 196 2733,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
8 20 21908 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
8 20 21908 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
8 20 21908 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
8 20 21908 2584 1195 1067 1977 2711 1821 2312 179 858 429 1924 1567 539 1943 2257 437 1007 306 770 783 1415 2663 178 2901 1245 2088 1237 2129 1162 178 1605 2502 2894 1704 1046 937 39 2457 536 1036,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
9 20 22926 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
9 20 22926 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
9 20 22926 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
9 20 22926 235 1113 2579 682 763 536 2901 1310 1073 1512 82 800 276 2015 1405 2632 1748 1844 1633 2611 657 326 1623 2927 2706 542 1916 1499 190 1739 2508 1793 1623 1079 1168 137 1605 1201 1967 2871,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
10 20 25606 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_bruteforce,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
10 20 25606 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_branch_bound,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
10 20 25606 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_greedy,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
10 20 25606 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523 1386 1938 2928 869 1907 1734 1520 881 868 2926 914 1186 179 1475,solve_dynamic_cost,-I 1 -N 10 -n 20 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
11 20 12926 679 738 1414 1898 99 1820 535 2207 398 1492 1576 1767 63 686 2004 2269 658 2523 47 276 1010 2536 660 317 872 27 1276 8 79 1270 2126 719 455 178 872 1054 743 716 592 2070,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
11 20 12926 679 738 1414 1898 99 1820 535 2207 398 1492 1576 1767 63 686 2004 2269 658 2523 47 276 1010 2536 660 317 872 27 1276 8 79 1270 2126 719 455 178 872 1054 743 716 592 2070,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
11 20 12926 679 738 1414 1898 99 1820 535 2207 398 1492 1576 1767 63 686 2004 2269 658 2523 47 276 1010 2536 660 317 872 27 1276 8 79 1270 2126 719 455 178 872 1054 743 716 592 2070,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
11 20 12926 679 738 1414 1898 99 1820 535 2207 398 1492 1576 1767 63 686 2004 2269 658 2523 47 276 1010 2536 660 317 872 27 1276 8 79 1270 2126 719 455 178 872 1054 743 716 592 2070,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
12 20 20784 447 2413 2247 652 459 592 1028 1302 2503 2070 991 2486 83 1060 369 2453 1188 602 396 390 1087 2582 2704 1591 2054 2567 1061 224 2453 5 2260 55 1084 2131 1433 2470 1175 1908 959 271,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
12 20 20784 447 2413 2247 652 459 592 1028 1302 2503 2070 991 2486 83 1060 369 2453 1188 602 396 390 1087 2582 2704 1591 2054 2567 1061 224 2453 5 2260 55 1084 2131 1433 2470 1175 1908 959 271,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
12 20 20784 447 2413 2247 652 459 592 1028 1302 2503 2070 991 2486 83 1060 369 2453 1188 602 396 390 1087 2582 2704 1591 2054 2567 1061 224 2453 5 2260 55 1084 2131 1433 2470 1175 1908 959 271,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
12 20 20784 447 2413 2247 652 459 592 1028 1302 2503 2070 991 2486 83 1060 369 2453 1188 602 396 390 1087 2582 2704 1591 2054 2567 1061 224 2453 5 2260 55 1084 2131 1433 2470 1175 1908 959 271,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
13 20 13681 1357 1117 842 2606 86 2462 504 75 1321 2340 420 1108 1232 795 976 1011 271 20 277 1286 615 52 934 2005 1821 339 2014 2748 108 2458 50 1384 1806 1977 290 2312 1434 1943 744 1007,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
13 20 13681 1357 1117 842 2606 86 2462 504 75 1321 2340 420 1108 1232 795 976 1011 271 20 277 1286 615 52 934 2005 1821 339 2014 2748 108 2458 50 1384 1806 1977 290 2312 1434 1943 744 1007,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
13 20 13681 1357 1117 842 2606 86 2462 504 75 1321 2340 420 1108 1232 795 976 1011 271 20 277 1286 615 52 934 2005 1821 339 2014 2748 108 2458 50 1384 1806 1977 290 2312 1434 1943 744 1007,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
13 20 13681 1357 1117 842 2606 86 2462 504 75 1321 2340 420 1108 1232 795 976 1011 271 20 277 1286 615 52 934 2005 1821 339 2014 2748 108 2458 50 1384 1806 1977 290 2312 1434 1943 744 1007,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
14 20 18066 1839 1605 1297 937 2193 1113 422 763 1691 1512 2344 1623 74 542 1085 190 1208 1079 1833 1605 130 1461 83 645 1963 934 1260 1960 485 1178 354 2503 73 1907 1267 881 1667 2075 1315 1025,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
14 20 18066 1839 1605 1297 937 2193 1113 422 763 1691 1512 2344 1623 74 542 1085 190 1208 1079 1833 1605 130 1461 83 645 1963 934 1260 1960 485 1178 354 2503 73 1907 1267 881 1667 2075 1315 1025,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
14 20 18066 1839 1605 1297 937 2193 1113 422 763 1691 1512 2344 1623 74 542 1085 190 1208 1079 1833 1605 130 1461 83 645 1963 934 1260 1960 485 1178 354 2503 73 1907 1267 881 1667 2075 1315 1025,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
14 20 18066 1839 1605 1297 937 2193 1113 422 763 1691 1512 2344 1623 74 542 1085 190 1208 1079 1833 1605 130 1461 83 645 1963 934 1260 1960 485 1178 354 2503 73 1907 1267 881 1667 2075 1315 1025,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
15 20 10964 129 2743 475 1893 1355 1233 510 635 323 1806 261 1587 1523 2774 11 434 204 2234 1144 1995 728 2384 941 948 427 752 2193 2536 874 2539 267 2293 543 2624 18 2032 227 1353 1552 2698,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
15 20 10964 129 2743 475 1893 1355 1233 510 635 323 1806 261 1587 1523 2774 11 434 204 2234 1144 1995 728 2384 941 948 427 752 2193 2536 874 2539 267 2293 543 2624 18 2032 227 1353 1552 2698,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
15 20 10964 129 2743 475 1893 1355 1233 510 635 323 1806 261 1587 1523 2774 11 434 204 2234 1144 1995 728 2384 941 948 427 752 2193 2536 874 2539 267 2293 543 2624 18 2032 227 1353 1552 2698,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
15 20 10964 129 2743 475 1893 1355 1233 510 635 323 1806 261 1587 1523 2774 11 434 204 2234 1144 1995 728 2384 941 948 427 752 2193 2536 874 2539 267 2293 543 2624 18 2032 227 1353 1552 2698,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
16 20 11492 445 2393 1349 2946 774 2602 356 1533 1518 2230 138 146 1567 1501 1023 2095 163 2787 105 2128 233 1431 730 1549 79 1611 723 2490 206 1748 965 641 969 2264 284 1236 942 1813 1796 1032,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
16 20 11492 445 2393 1349 2946 774 2602 356 1533 1518 2230 138 146 1567 1501 1023 2095 163 2787 105 2128 233 1431 730 1549 79 1611 723 2490 206 1748 965 641 969 2264 284 1236 942 1813 1796 1032,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
16 20 11492 445 2393 1349 2946 774 2602 356 1533 1518 2230 138 146 1567 1501 1023 2095 163 2787 105 2128 233 1431 730 1549 79 1611 723 2490 206 1748 965 641 969 2264 284 1236 942 1813 1796 1032,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
16 20 11492 445 2393 1349 2946 774 2602 356 1533 1518 2230 138 146 1567 1501 1023 2095 163 2787 105 2128 233 1431 730 1549 79 1611 723 2490 206 1748 965 641 969 2264 284 1236 942 1813 1796 1032,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
17 20 19611 457 1752 425 951 351 769 1556 981 1737 1462 97 373 953 411 1120 226 2278 468 841 1268 1423 954 2177 956 1447 945 160 2496 606 1145 2448 491 861 2462 821 2202 2453 334 2303 1472,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
17 20 19611 457 1752 425 951 351 769 1556 981 1737 1462 97 373 953 411 1120 226 2278 468 841 1268 1423 954 2177 956 1447 945 160 2496 606 1145 2448 491 861 2462 821 2202 2453 334 2303 1472,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
17 20 19611 457 1752 425 951 351 769 1556 981 1737 1462 97 373 953 411 1120 226 2278 468 841 1268 1423 954 2177 956 1447 945 160 2496 606 1145 2448 491 861 2462 821 2202 2453 334 2303 1472,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
17 20 19611 457 1752 425 951 351 769 1556 981 1737 1462 97 373 953 411 1120 226 2278 468 841 1268 1423 954 2177 956 1447 945 160 2496 606 1145 2448 491 861 2462 821 2202 2453 334 2303 1472,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
18 20 13741 594 1547 1411 932 413 1843 154 934 416 1457 2280 2527 977 2071 2113 1068 41 762 1103 2662 232 779 1340 2215 1844 1722 144 1680 469 1991 2164 491 761 2534 119 342 412 154 190 2081,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
18 20 13741 594 1547 1411 932 413 1843 154 934 416 1457 2280 2527 977 2071 2113 1068 41 762 1103 2662 232 779 1340 2215 1844 1722 144 1680 469 1991 2164 491 761 2534 119 342 412 154 190 2081,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
18 20 13741 594 1547 1411 932 413 1843 154 934 416 1457 2280 2527 977 2071 2113 1068 41 762 1103 2662 232 779 1340 2215 1844 1722 144 1680 469 1991 2164 491 761 2534 119 342 412 154 190 2081,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
18 20 13741 594 1547 1411 932 413 1843 154 934 416 1457 2280 2527 977 2071 2113 1068 41 762 1103 2662 232 779 1340 2215 1844 1722 144 1680 469 1991 2164 491 761 2534 119 342 412 154 190 2081,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
19 20 17166 997 671 510 1303 627 2606 1383 1174 1236 1206 1838 2663 1575 35 297 1562 1699 587 308 897 951 39 337 149 1439 2811 855 2680 2631 2344 1887 872 1974 1674 339 2412 378 2124 197 2219,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
19 20 17166 997 671 510 1303 627 2606 1383 1174 1236 1206 1838 2663 1575 35 297 1562 1699 587 308 897 951 39 337 149 1439 2811 855 2680 2631 2344 1887 872 1974 1674 339 2412 378 2124 197 2219,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
19 20 17166 997 671 510 1303 627 2606 1383 1174 1236 1206 1838 2663 1575 35 297 1562 1699 587 308 897 951 39 337 149 1439 2811 855 2680 2631 2344 1887 872 1974 1674 339 2412 378 2124 197 2219,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
19 20 17166 997 671 510 1303 627 2606 1383 1174 1236 1206 1838 2663 1575 35 297 1562 1699 587 308 897 951 39 337 149 1439 2811 855 2680 2631 2344 1887 872 1974 1674 339 2412 378 2124 197 2219,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
20 20 12322 436 1843 262 2137 1384 1472 1905 2267 1461 1666 868 2658 18 2946 293 910 1334 2757 1231 99 431 994 299 369 442 316 1123 118 101 961 379 370 120 1801 2556 1584 284 49 476 988,solve_bruteforce,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
20 20 12322 436 1843 262 2137 1384 1472 1905 2267 1461 1666 868 2658 18 2946 293 910 1334 2757 1231 99 431 994 299 369 442 316 1123 118 101 961 379 370 120 1801 2556 1584 284 49 476 988,solve_branch_bound,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
20 20 12322 436 1843 262 2137 1384 1472 1905 2267 1461 1666 868 2658 18 2946 293 910 1334 2757 1231 99 431 994 299 369 442 316 1123 118 101 961 379 370 120 1801 2556 1584 284 49 476 988,solve_greedy,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
20 20 12322 436 1843 262 2137 1384 1472 1905 2267 1461 1666 868 2658 18 2946 293 910 1334 2757 1231 99 431 994 299 369 442 316 1123 118 101 961 379 370 120 1801 2556 1584 284 49 476 988,solve_dynamic_cost,-I 11 -N 10 -n 20 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
21 20 35089 2322 738 1587 1898 2902 1820 2466 2207 2603 1492 1425 1767 2938 686 997 2269 2343 2523 2954 276 1991 2536 2341 317 2129 27 1725 8 2922 1270 875 719 2546 178 2129 1054 2258 716 2409 2070,solve_bruteforce,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w heavy -m 0.8 -c uni,w
21 20 35089 2322 738 1587 1898 2902 1820 2466 2207 2603 1492 1425 1767 2938 686 997 2269 2343 2523 2954 276 1991 2536 2341 317 2129 27 1725 8 2922 1270 875 719 2546 178 2129 1054 2258 716 2409 2070,solve_branch_bound,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w heavy -m 0.8 -c uni,w
21 20 35089 2322 738 1587 1898 2902 1820 2466 2207 2603 1492 1425 1767 2938 686 997 2269 2343 2523 2954 276 1991 2536 2341 317 2129 27 1725 8 2922 1270 875 719 2546 178 2129 1054 2258 716 2409 2070,solve_greedy,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w heavy -m 0.8 -c uni,w
21 20 35089 2322 738 1587 1898 2902 1820 2466 2207 2603 1492 1425 1767 2938 686 997 2269 2343 2523 2954 276 1991 2536 2341 317 2129 27 1725 8 2922 1270 875 719 2546 178 2129 1054 2258 716 2409 2070,solve_dynamic_cost,-I 21 -N 10 -n 20 -W 3000 -C 3000 -w heavy -m 0.8 -c uni,w
